x, y0
, 
um, um
0, 0.139748
1.98397, 0.146092
3.96794, 0.119433
5.9519, 0.00713001
7.93587, -0.0369684
9.91984, -0.0455652
11.9038, -0.0554746
13.8878, -0.109659
15.8717, -0.125323
17.8557, -0.134735
19.8397, -0.193647
21.8236, -0.195834
23.8076, -0.189693
25.7916, -0.147389
27.7756, -0.0961381
29.7595, -0.341964
31.7435, -0.312407
33.7275, -0.361241
35.7114, -0.409838
37.6954, -0.387701
39.6794, -0.33599
41.6633, -0.517741
43.6473, -0.484996
45.6313, -0.459195
47.6152, -0.460789
49.5992, -0.483295
51.5832, -0.48082
53.5671, -0.53889
55.5511, -0.585422
57.5351, -0.562117
59.519, -0.576703
61.503, -0.540198
63.487, -0.557607
65.4709, -0.567322
67.4549, -0.593908
69.4389, -0.602777
71.4229, -0.600064
73.4068, -0.605944
75.3908, -0.613436
77.3748, -0.621506
79.3587, -0.618922
81.3427, -0.593865
83.3267, -0.613233
85.3106, -0.588798
87.2946, -0.547879
89.2786, -0.446775
91.2625, -0.524588
93.2465, -0.877281
95.2305, -0.748147
97.2144, -0.675539
99.1984, -0.522569
101.182, -0.510875
103.166, -0.267279
105.15, -0.477769
107.134, -0.514674
109.118, -0.505006
111.102, -0.546569
113.086, -0.551841
115.07, -0.539694
117.054, -0.508972
119.038, -0.478659
121.022, -0.814038
123.006, -0.509515
124.99, -0.481043
126.974, -0.482371
128.958, -0.473635
130.942, -0.459648
132.926, -0.480611
134.91, -0.514196
136.894, -0.445336
138.878, -0.417104
140.862, -0.396859
142.846, -0.362004
144.83, -0.314464
146.814, -0.315338
148.798, -0.306099
150.782, -0.269202
152.766, -0.239704
154.75, -0.244674
156.733, -0.237684
158.717, -0.215402
160.701, -0.196078
162.685, -0.165483
164.669, -0.128223
166.653, -0.112235
168.637, -0.136719
170.621, -0.17553
172.605, -0.0551645
174.589, 0.0106917
176.573, -0.00600402
178.557, -0.00272525
180.541, -0.045237
182.525, 0.235309
